
.\Data\s11\9.pgm;10318;9640;
.\Data\s11\s1.pgm;10318;9945;
.\Data\s11\s10.pgm;10318;9869;
.\Data\s11\s11.pgm;10318;9523;
.\Data\s11\s15.pgm;10318;10471;
.\Data\s11\s16.pgm;10318;9800;
.\Data\s11\s18.pgm;10318;10273;
.\Data\s11\s21.pgm;10318;10273;
.\Data\s11\s23.pgm;10318;10143;
.\Data\s11\s24.pgm;10318;9875;
.\Data\s11\s26.pgm;10318;10231;
.\Data\s11\s29.pgm;10318;10187;
.\Data\s11\s3.pgm;10318;10119;
.\Data\s11\s30.pgm;10318;10102;
.\Data\s11\s32.pgm;10318;9993;
.\Data\s11\s33.pgm;10318;10077;
.\Data\s11\s35.pgm;10318;10251;
.\Data\s11\s38.pgm;10318;10096;
.\Data\s11\s39.pgm;10318;10218;
.\Data\s11\s40.pgm;10318;10189;
.\Data\s11\s5.pgm;10318;10311;
.\Data\s11\s7.pgm;10318;10073;
.\Data\s11\s8.pgm;10318;9976;
.\Data\s11\s9.pgm;10318;10154;
.\Data\s15\1.pgm;10318;9582;
.\Data\s15\2.pgm;10318;9422;
.\Data\s15\3.pgm;10318;9572;
.\Data\s15\4.pgm;10318;9511;
.\Data\s15\5.pgm;10318;9398;
.\Data\s15\6.pgm;10318;9508;
.\Data\s15\7.pgm;10318;9397;
.\Data\s15\8.pgm;10318;9583;
.\Data\s15\9.pgm;10318;9382;
.\Data\s15\s1.pgm;10318;10257;
.\Data\s15\s10.pgm;10318;11116;
.\Data\s15\s11.pgm;10318;10643;
.\Data\s15\s15.pgm;10318;9350;
.\Data\s15\s16.pgm;10318;9951;
.\Data\s15\s18.pgm;10318;10193;
.\Data\s15\s21.pgm;10318;9550;
.\Data\s15\s23.pgm;10318;10244;
.\Data\s15\s24.pgm;10318;9522;
.\Data\s15\s26.pgm;10318;10008;
.\Data\s15\s29.pgm;10318;9638;
.\Data\s15\s3.pgm;10318;10184;
.\Data\s15\s30.pgm;10318;9610;
.\Data\s15\s32.pgm;10318;9921;
.\Data\s15\s33.pgm;10318;9688;
.\Data\s15\s35.pgm;10318;9969;
.\Data\s15\s38.pgm;10318;10004;
.\Data\s15\s39.pgm;10318;9778;
.\Data\s15\s40.pgm;10318;9736;
.\Data\s15\s5.pgm;10318;9901;
.\Data\s15\s7.pgm;10318;10448;
.\Data\s15\s8.pgm;10318;11240;
.\Data\s15\s9.pgm;10318;10002;
.\Data\s16\1.pgm;10318;9673;
.\Data\s16\2.pgm;10318;9428;
.\Data\s16\3.pgm;10318;9362;
.\Data\s16\4.pgm;10318;10422;
.\Data\s16\5.pgm;10318;10007;
.\Data\s16\6.pgm;10318;9634;
.\Data\s16\7.pgm;10318;9411;
.\Data\s16\8.pgm;10318;9370;
.\Data\s16\9.pgm;10318;9318;
.\Data\s16\s1.pgm;10318;9773;
.\Data\s16\s10.pgm;10318;10432;
.\Data\s16\s11.pgm;10318;10013;
.\Data\s16\s15.pgm;10318;10262;
.\Data\s16\s16.pgm;10318;9386;
.\Data\s16\s18.pgm;10318;10182;
.\Data\s16\s21.pgm;10318;10004;
.\Data\s16\s23.pgm;10318;10154;
.\Data\s16\s24.pgm;10318;9566;
.\Data\s16\s26.pgm;10318;10210;
.\Data\s16\s29.pgm;10318;10339;
.\Data\s16\s3.pgm;10318;10099;
.\Data\s16\s30.pgm;10318;10040;
.\Data\s16\s32.pgm;10318;9953;
.\Data\s16\s33.pgm;10318;10176;
.\Data\s16\s35.pgm;10318;10117;
.\Data\s16\s38.pgm;10318;10282;
.\Data\s16\s39.pgm;10318;10522;
.\Data\s16\s40.pgm;10318;10065;
.\Data\s16\s5.pgm;10318;10096;
.\Data\s16\s7.pgm;10318;9973;
.\Data\s16\s8.pgm;10318;10369;
.\Data\s16\s9.pgm;10318;10129;
.\Data\s18\1.pgm;10318;9479;
.\Data\s18\2.pgm;10318;9406;
.\Data\s18\3.pgm;10318;9393;
.\Data\s18\4.pgm;10318;9389;
.\Data\s18\5.pgm;10318;9262;
.\Data\s18\6.pgm;10318;9459;
.\Data\s18\7.pgm;10318;9401;
.\Data\s18\8.pgm;10318;9296;
.\Data\s18\9.pgm;10318;9389;
.\Data\s18\s1.pgm;10318;10195;
.\Data\s18\s10.pgm;10318;11056;
.\Data\s18\s11.pgm;10318;11607;
.\Data\s18\s15.pgm;10318;9548;
.\Data\s18\s16.pgm;10318;10491;
.\Data\s18\s18.pgm;10318;9414;
.\Data\s18\s21.pgm;10318;10116;
.\Data\s18\s23.pgm;10318;10165;
.\Data\s18\s24.pgm;10318;10434;
.\Data\s18\s26.pgm;10318;9803;
.\Data\s18\s29.pgm;10318;10576;
.\Data\s18\s3.pgm;10318;10100;
.\Data\s18\s30.pgm;10318;10401;
.\Data\s18\s32.pgm;10318;10323;
.\Data\s18\s33.pgm;10318;10736;
