
.\Data\s18\s5.pgm;10318;10617;
.\Data\s18\s7.pgm;10318;11165;
.\Data\s18\s8.pgm;10318;12124;
.\Data\s18\s9.pgm;10318;11286;
.\Data\s21\1.pgm;10318;8418;
.\Data\s21\2.pgm;10318;7506;
.\Data\s21\3.pgm;10318;7257;
.\Data\s21\4.pgm;10318;7522;
.\Data\s21\5.pgm;10318;7404;
.\Data\s21\6.pgm;10318;7360;
.\Data\s21\7.pgm;10318;7267;
.\Data\s21\8.pgm;10318;7375;
.\Data\s21\9.pgm;10318;7338;
.\Data\s21\s1.pgm;10318;12054;
.\Data\s21\s10.pgm;10318;13795;
.\Data\s21\s11.pgm;10318;13230;
.\Data\s21\s15.pgm;10318;12048;
.\Data\s21\s16.pgm;10318;11292;
.\Data\s21\s18.pgm;10318;12483;
.\Data\s21\s21.pgm;10318;11882;
.\Data\s21\s23.pgm;10318;12779;
.\Data\s21\s24.pgm;10318;11633;
.\Data\s21\s26.pgm;10318;12720;
.\Data\s21\s29.pgm;10318;12827;
.\Data\s21\s3.pgm;10318;12619;
.\Data\s21\s30.pgm;10318;12115;
.\Data\s21\s32.pgm;10318;12240;
.\Data\s21\s33.pgm;10318;12731;
.\Data\s21\s35.pgm;10318;12397;
.\Data\s21\s38.pgm;10318;12759;
.\Data\s21\s39.pgm;10318;12944;
.\Data\s21\s40.pgm;10318;12249;
.\Data\s21\s5.pgm;10318;12293;
.\Data\s21\s7.pgm;10318;12915;
.\Data\s21\s8.pgm;10318;13805;
.\Data\s21\s9.pgm;10318;12560;
.\Data\s23\1.pgm;10318;8582;
.\Data\s23\2.pgm;10318;7282;
.\Data\s23\3.pgm;10318;6989;
.\Data\s23\4.pgm;10318;6746;
.\Data\s23\5.pgm;10318;6701;
.\Data\s23\6.pgm;10318;6633;
.\Data\s23\7.pgm;10318;6510;
.\Data\s23\8.pgm;10318;6715;
.\Data\s23\9.pgm;10318;6944;
.\Data\s23\s1.pgm;10318;13274;
.\Data\s23\s10.pgm;10318;13789;
.\Data\s23\s11.pgm;10318;13515;
.\Data\s23\s15.pgm;10318;11514;
.\Data\s23\s16.pgm;10318;12941;
.\Data\s23\s18.pgm;10318;12412;
.\Data\s23\s21.pgm;10318;11585;
.\Data\s23\s23.pgm;10318;11749;
.\Data\s23\s24.pgm;10318;12905;
.\Data\s23\s26.pgm;10318;12061;
.\Data\s23\s29.pgm;10318;11532;
.\Data\s23\s3.pgm;10318;12413;
.\Data\s23\s30.pgm;10318;12099;
.\Data\s23\s32.pgm;10318;13064;
.\Data\s23\s33.pgm;10318;11727;
.\Data\s23\s35.pgm;10318;12156;
.\Data\s23\s38.pgm;10318;12396;
.\Data\s23\s39.pgm;10318;11085;
.\Data\s23\s40.pgm;10318;12461;
.\Data\s23\s5.pgm;10318;12487;
.\Data\s23\s7.pgm;10318;11697;
.\Data\s23\s8.pgm;10318;13352;
.\Data\s23\s9.pgm;10318;12471;
.\Data\s24\1.pgm;10318;8246;
.\Data\s24\10.pgm;10318;7842;
.\Data\s24\2.pgm;10318;6957;
.\Data\s24\3.pgm;10318;7063;
.\Data\s24\4.pgm;10318;7164;
.\Data\s24\5.pgm;10318;7479;
.\Data\s24\6.pgm;10318;7113;
.\Data\s24\8.pgm;10318;6911;
.\Data\s24\9.pgm;10318;7148;
.\Data\s24\s1.pgm;10318;13570;
.\Data\s24\s10.pgm;10318;14147;
.\Data\s24\s11.pgm;10318;12716;
.\Data\s24\s15.pgm;10318;12633;
.\Data\s24\s16.pgm;10318;11846;
.\Data\s24\s18.pgm;10318;13904;
.\Data\s24\s21.pgm;10318;11737;
.\Data\s24\s23.pgm;10318;12611;
.\Data\s24\s24.pgm;10318;11530;
.\Data\s24\s26.pgm;10318;13067;
.\Data\s24\s29.pgm;10318;11548;
.\Data\s24\s3.pgm;10318;12824;
.\Data\s24\s30.pgm;10318;12033;
.\Data\s24\s32.pgm;10318;13046;
.\Data\s24\s33.pgm;10318;11489;
.\Data\s24\s35.pgm;10318;13152;
.\Data\s24\s38.pgm;10318;12751;
.\Data\s24\s39.pgm;10318;11937;
.\Data\s24\s40.pgm;10318;12951;
.\Data\s24\s5.pgm;10318;13923;
.\Data\s24\s7.pgm;10318;11910;
.\Data\s24\s8.pgm;10318;14009;
.\Data\s24\s9.pgm;10318;12966;
.\Data\s26\1.pgm;10318;8785;
.\Data\s26\10.pgm;10318;7735;
